title,company,location,date,url
"SEO Specialist
SEO Specialist","Confidential Careers
2 school alumni work here
2 Bar-Ilan University school alumni work here
7 minutes ago
",MENA (Remote),4/19/2026,https://www.linkedin.com/jobs/view/4403881943/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=fFvi8RXE%2BvxESY7ZnuyHpA%3D%3D&trackingId=HvUGcLbXc0grrYe4A7pyIg%3D%3D&trk=flagship3_search_srp_jobs
"Sales Marketing Operations
Sales Marketing Operations","Confidential Careers
2 school alumni work here
2 Bar-Ilan University school alumni work here
8 minutes ago
",MENA (Remote),4/19/2026,https://www.linkedin.com/jobs/view/4403884407/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=prsmtozFzOhuhSCcAXz6HQ%3D%3D&trackingId=ifqcSQKWO7HoMlEoFuP87A%3D%3D&trk=flagship3_search_srp_jobs
"Back End Developer
Back End Developer","Confidential Careers
2 school alumni work here
2 Bar-Ilan University school alumni work here
8 minutes ago
",MENA (Remote),4/19/2026,https://www.linkedin.com/jobs/view/4403889248/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=8kmTiSYrQw5kD1TfkJvWFw%3D%3D&trackingId=5Vgl2o3aqfDZpq8HhHhwgw%3D%3D&trk=flagship3_search_srp_jobs
"Operations Team Lead
Operations Team Lead","Confidential Careers
2 school alumni work here
2 Bar-Ilan University school alumni work here
8 minutes ago
",EMEA (Remote),4/19/2026,https://www.linkedin.com/jobs/view/4403879957/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=e1jaHYnJglqIuW7k4mY4gg%3D%3D&trackingId=ovTHtN3x8cZV4cGKtsu4sQ%3D%3D&trk=flagship3_search_srp_jobs
"RPG Developer
RPG Developer with verification",Consist,"Tel Aviv District, Israel (On-site)",4/19/2026,https://www.linkedin.com/jobs/view/4401245283/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=G4rvlZtIQbOjJB49KptsQA%3D%3D&trackingId=YLH8WJ2DPmTIUdKRSUGfKQ%3D%3D&trk=flagship3_search_srp_jobs
"Software Engineer
Software Engineer",Corephotonics Ltd,"Tel Aviv District, Israel (On-site)",4/19/2026,https://www.linkedin.com/jobs/view/4401258058/?eBP=CwEAAAGdpe_as5MgEx20V5Rt1IiXCeBPLfoWkexJ3k_wko5NHIj0swWGEUv9scTkPbch8RsebkDUGbJUlO0xdQJBvlabuWfqTJlBGDg5POKxgjG9mOIQxp7kp-_gBACOUDZkstrA7fu2H1YtuQymXgECSDxHVYqCCxpKudGIfWncGw1KA5QXX2Plypg1WV9LHYpBF8URodw2beWCcHNhgxbk4nVilDh94xG1CQbkc1xNJFTPV7Jai733uViIgaYBHNsyJ1PaRWaEVSkP5piZg_eNEcQlQsCnck3nITKokutqqdGYWckJwzuVkPdvRd4JxCOmabuVxrRgYPZWcyqOenlphdGmOlHUhAGSbZOR-NaOkgElOlyejLb8FivcDrD6T3Cnl6zRAelrxR-cmUdJSGHdZ5RxaBwYsUHpNZGXoT9osr8RE8tSUWClaxd67ZAoxBnt9kXsf_japgJCkSKJKJvNytxmLNz8PCbVMu97KtARKdI_AcVUjO3jBN7_632_jpEU6Z2Gfg&refId=6%2F1TP8lSr5YtC2KJBZTUXg%3D%3D&trackingId=2L4tRK%2Bghsdz5iZ28DE6WA%3D%3D&trk=flagship3_search_srp_jobs
"Marketing Team Lead (Hands-on & Results Driven)
Marketing Team Lead (Hands-on & Results Driven)",Cottage Plastic Ltd.,"Afula, North District, Israel (On-site)",4/19/2026,https://www.linkedin.com/jobs/view/4401274278/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=9K9t70WJl1MOJYQWMK%2BP7w%3D%3D&trackingId=ns9kQS8J3HEdXTjbrt%2BtHA%3D%3D&trk=flagship3_search_srp_jobs
"Online Pre-IGCSE Science
Online Pre-IGCSE Science","Crimson Education
23 hours ago
",Middle East (Remote),4/19/2026,https://www.linkedin.com/jobs/view/4380669929/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=9%2B8I5QISj29VU7zGtD6mXw%3D%3D&trackingId=XOsURffl7TOwTysbtOzfWw%3D%3D&trk=flagship3_search_srp_jobs
"Healthcare Specialist | $98/hr Remote
Healthcare Specialist | $98/hr Remote","Crossing Hurdles
$49/hr - $98/hr",EMEA (Remote),4/19/2026,https://www.linkedin.com/jobs/view/4371504367/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=6%2F1TP8lSr5YtC2KJBZTUXg%3D%3D&trackingId=JANJnZViCXZYRCsv%2FfaBHg%3D%3D&trk=flagship3_search_srp_jobs
"Geological technician | Remote
Geological technician | Remote","Crossing Hurdles
$55/hr - $104/hr",EMEA (Remote),4/19/2026,https://www.linkedin.com/jobs/view/4372055673/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=nN9NBMRbJiYQvY59c2TBeg%3D%3D&trackingId=FjOIFGfEcq5Y90laqHH8ZA%3D%3D&trk=flagship3_search_srp_jobs
"Sr. Cloud Security Researcher Tech Lead (Hybrid, ISR)
Sr. Cloud Security Researcher Tech Lead (Hybrid, ISR) with verification",CrowdStrike,"Tel Aviv-Yafo, Tel Aviv District, Israel (Hybrid)",4/19/2026,https://www.linkedin.com/jobs/view/4363974406/?eBP=CwEAAAGdpe6GYDLkvHj0_SUZ58yVD1IwpDBgpINYdGA2xRdE1u0bTZPGq43PvqiqLfznivU3r4p1n_feq365P5wjIU8w_Z4WdPRY8imgNPa9R_eVY6d4j9Jz7uFMbUducdg5G4aGC0XRCjGUOcByt9YO8CfeqJdlRNtlYVcXyWq2-rSY9yR6M8FncIttvLrTUM8t3Tn9y0JQhIdaalyHn3UvgIQegcj2Ak3VaBYY2TAJ8LuTna2z7-us_DfYChCNnRvkEgkKLK1GJJDhfKPyvzMj1h2rZRRzDaB-z4n0fcJrmBlUaFbRgkymwzTK8mckANtHsAqcY6GiSHbTPHlQiclMWbii7FIgMX76gitdLJWlXpkF9jwcuGHlF6RiWfwPLFbVk1moBbCOLMenHFdiA0Bcts_gsZKJaRx9Bxk_iiiHSXMzq1O0VH8xcbwbCu7JU_mz5BJ0vmeM4L8XYMV_e3ENEpn3ZJZcVzpCr4wYzVcO4DBQ&refId=ST13g5EFAOp6%2FOXvBNitPg%3D%3D&trackingId=dEHx0NabdxGrgiZf%2B3tDoA%3D%3D&trk=flagship3_search_srp_jobs
"Cyber Success Architect (XSIAM) | Technical Lead & Strategic Advisor
Cyber Success Architect (XSIAM) | Technical Lead & Strategic Advisor",CYBERcom,"Center District, Israel (On-site)",4/19/2026,https://www.linkedin.com/jobs/view/4401248227/?eBP=CwEAAAGdpe1KCED_PC9HQj3wgr4ExKWzZ_ff3XQGtg2Y7_mFVVPLaFimzyZDLX-zjQ2cIh_4RB8AvwNow6QSV9CePbEit44fz2qDYNNcLxJyq1NLOOg5krboIKs5y7a-qvMvdUiWU-Klc9flb0TSJepACDEroOu-rkAqNu1MNwCOEoknW0ugT2E6GK0hqcQXr-uhKidnCIWbXTkn3v5OiT5wKNeGk83oIJOIi6Sp-LxuqVQ9KFnzSrw4d5jCz5JDgQhC98c_-xnbptkMRK6bO5FPzTMImKF1x3gv5g-c0Qh6iuE3-9juQEPEWdbgjdWphhpggov2cEdnH3Nafmqm6UNuLgGj--5Q8NGtTw5eMgZsSs6kymRreojDMxfUuU6dACEyL-GI8XWcyw3sUZ9rg-bjuH70tG3kwQaa1BSzIcXiA9t4hfDH5bj3YuTO2kK0Z2sMfP6VldgVWsdFzT_MTG5XOWRuTnpb7KOZRPwK_Nvmt4ZF3atjvLdxWbAvFXhaEMIA9Fk&refId=9K9t70WJl1MOJYQWMK%2BP7w%3D%3D&trackingId=XcuQrJkUmzCMb9mX59A7Ew%3D%3D&trk=flagship3_search_srp_jobs
"Solution Architect - OCTO Scanning
Solution Architect - OCTO Scanning with verification",Cyera,"Tel Aviv District, Israel (On-site)",4/19/2026,https://www.linkedin.com/jobs/view/4403873592/?eBP=CwEAAAGdpe_aswXrw6mWwIEik5eS-74BUPJOR7Ah6Y_x6-Hb2fs6aoZGti9sus6t4YhJXztw_Jztu4khzSQIPJZ2olHIAmZMQE6f__IgFPEYubWsR05Yyv_92Spj7-N6TP0qWPmqbKm2p3tjhmdvVIyb02o6xmbAPApBIzbJ2S3SlQa2CS0V5WDo417CmhBkiOSGDpF-RIawcMUpl3KRYwZYpoisUHYngOJ38W4gxARA1LPxqAoN-a5mS7ZnD7pq6JO8UIunic3oVL4gpisMKIkow3QUhe-XfN847sVJEDS4_E15SwNyYxZeKcOSagBVAdsdEKEzzqrVr27rnsTVp0Kb5mgaI-Is93yP7iflQA6JITqxZCF0pRY5qpwoizvV2QfC9Zsbztl7gKlM7rG9aYftCCK_i0XGrT4OAlCHONB7omgoz_Sv3aGGvKIF3Xm33SOjVdMf8Cdwr2qEC8wMs-dCJ6vAgPytjWwl1QLpHDSv0iNzqJeM0Cdg1Y6W_aQK3w&refId=6%2F1TP8lSr5YtC2KJBZTUXg%3D%3D&trackingId=xrvaS8UmoGJFKz2Q1yOWVA%3D%3D&trk=flagship3_search_srp_jobs
"Director of Revenue Operations
Director of Revenue Operations with verification",Cyolo,"Ramat Gan, Tel Aviv District, Israel (Hybrid)",4/19/2026,https://www.linkedin.com/jobs/view/4400976598/?eBP=CwEAAAGdpe7K-GII_svbJO5DEAJAxEhzhmtYh-q7s1IOk4CJJL_XRlxw7gI9oSHf6OsuYnhTJsoBMG9Y7PFbdq0okRvxhhvF2gGgK2laB3bLh3fhYMkF1J76_7xpRRkmJGdOuFBh6u65JkCol88qbgKU7_4SXkUKewJ0TK6FEWgVJ_gE2dQOV6u7PxdMwfmIP57isNNkpql4O9RaEB0NjDNoY5lHXItDCq3eqE6oYE8hbQ_shVYQHyFvf3SIYuPATj6sf8cGxhcDUk8NkfPSBzp-ZTDwpe2IPJIhu2wFCp1oZwvpes3Nhx0Hzk6EfczefVqhghU6vHWTnVA51kYccrHtk_bWf6D1YEPmCWfej8poVyrzQsjmjn6EsxMMU5Dk-oztOKV1H2-fn79YbwjtDrezoP-ML0rTCgL4049wM-5PWsvWbPfaRI3SWKp6yVi4MPzDJFwEpJCsGgxMXlRxIKukEC0Z6kFSQOWSDlPpLymhPhrtjmFoeUREOxEhnbc&refId=WeAHA33keSXS6aDNyHThMw%3D%3D&trackingId=r%2ByGr3fVeGMWK6M8TFIxDA%3D%3D&trk=flagship3_search_srp_jobs
"DevSecOps Engineer
DevSecOps Engineer with verification",Cyolo,"Ramat Gan, Tel Aviv District, Israel (On-site)",4/19/2026,https://www.linkedin.com/jobs/view/4402924883/?eBP=CwEAAAGdpfD0qKFbP5BzGR9mK_GyhBhQJHo1WjyVRpzPGzZK42Dxtzq8pkAzQY6jUnRWX-gZDTkeLG8ouVUygHG69_ru40-0BqxCoR8fA6WUw4K2BggbZpXjKK8HYeYhpBXpftcJpn27_1JK_wo5EmhShPPKqHOSFZ1aUlEa4fWfMro3ruD-P5IyIIY1DvAqQcV-eaFflz-Cn6OOQX-3ZkxkPYqaS1aw4AlDgHrMUqh6I35babmNEoUvwD1JEgQf_l0miiWxAa6heitBnKqHiefzJKADQ8pkJdVum0-j2QXj7Gz9dFW7Y2lD0-c8CYqQ5UBbZ8AtDjb7rNdbgtRFQHl4mP1qqIf92vzIX_tfIdvnCpg7Z7lNCgcuQJ2GJOeikwSDT_NXrCyXLenAfqheApR_QuXEhmY2alo5Bqdt6YoadqUwv6mP-70eOUkaUloKCCKBWYd4GT_RSluZlV5pAz-wdbQN9TOmMJ3VyeEwZg8&refId=769Px%2BzBtjFv08uoFnMNXQ%3D%3D&trackingId=7tvwGTGhrfrveaxDUybALQ%3D%3D&trk=flagship3_search_srp_jobs
"Senior Developer - Agentic AI
Senior Developer - Agentic AI","Daisy

1 hour ago
","Tel Aviv-Yafo, Tel Aviv District, Israel (Hybrid)",4/19/2026,https://www.linkedin.com/jobs/view/4403887092/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=9%2B8I5QISj29VU7zGtD6mXw%3D%3D&trackingId=PrVQGNdUEgGdO20gzhp52w%3D%3D&trk=flagship3_search_srp_jobs
"עוזר.ת אישי.ת למנכ״ל
עוזר.ת אישי.ת למנכ״ל",DARA Project Marketing,"Tel Aviv District, Israel (On-site)",4/19/2026,https://www.linkedin.com/jobs/view/4401280073/?eBP=BUDGET_EXHAUSTED_JOB&refId=tkZXbaztt%2FsGjYSutoEltQ%3D%3D&trackingId=NjUswS4%2Bv6qSC6gCKzLasQ%3D%3D&trk=flagship3_search_srp_jobs
"Senior Software Engineer - Backend & Scalability
Senior Software Engineer - Backend & Scalability with verification",Datadog,"Tel Aviv District, Israel (Hybrid)",4/19/2026,https://www.linkedin.com/jobs/view/4291615001/?eBP=CwEAAAGdpfKEQ8RUDFdiooZxsViiMGr2p_eau9wLgv4ZaX1vcmyMWGMZRV2N3NzSFCgKUuOB63Td_K3P5EPrYQnTKfXdAgVoAjbHgJnW1xipb7FpZsMNd1VD0tXsnu03RXFAV0iMnaLhClmdLmUgWL8sYfoe4MkdQTsBWyuij4zc-HsvY5FHJrLG3yLXJVRtvu9B6jVN4ZW2V1QD5OZ4JaR5ayoSMcvZybAWIj8Zc3sRj4L85i3G8L2UkMSFOY8CGIzfUvK2eFmxYLOWn8PL1F1sw5SkMHv3isKcuEHoPLjholeq4Ev6nmZFH1sqFYrDiAV8RwVUU68Ti4ir9GawI_tEijWGYdh9p0F_ch0hoPMCXtOM0wVXaxfEPjjNgXmWca3u3XyiZJVAFCpE0dYdvk0sHBi0S361XY1ENSQN024wlQS9CalVQqnHkzcojJ5ES2N-gMZklHcSTctDZ5xqv0CxCSYyzpyZDU4Pnmn23MBQO2Bq&refId=9%2B8I5QISj29VU7zGtD6mXw%3D%3D&trackingId=16Au%2BI9nmlqqSGg1vfOK1A%3D%3D&trk=flagship3_search_srp_jobs
"Senior Product Manager - Equity
Senior Product Manager - Equity with verification","Deel
4 connections work here
22 hours ago
",EMEA (Remote),4/19/2026,https://www.linkedin.com/jobs/view/4390961849/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=6%2F1TP8lSr5YtC2KJBZTUXg%3D%3D&trackingId=7NIcHbNRqHM26KRLP4wSeQ%3D%3D&trk=flagship3_search_srp_jobs
"Senior Product Manager - People List & Org Chart
Senior Product Manager - People List & Org Chart with verification","Deel
4 connections work here
33 minutes ago
",EMEA (Remote),4/19/2026,https://www.linkedin.com/jobs/view/4403312229/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Y8XoWEY%2FUV4Y4K1MrsYVvg%3D%3D&trackingId=UA9UNK7v48qeM%2BE5HhCOSQ%3D%3D&trk=flagship3_search_srp_jobs
"International Tax Manager
International Tax Manager with verification",Deloitte,"Tel Aviv District, Israel (Hybrid)",4/19/2026,https://www.linkedin.com/jobs/view/4403886219/?eBP=CwEAAAGdpfINhtAKSdc1zu6Q44kTvcl1pCTM1egvNqfvmuFBoGQFgCh1P-Qih_P4M0Ojiqylb848K3jIof7WpCwtOiaZ-lOTXThgLOBDS33o3Q-enTT9xMNK9dvDdi4WmtPVygqFA2mn2dtEdo5elXm4Hh9S4Lh_b8oF30Qkvm2TJolky5f3OgCdCXU2rxeS1ExPfILN62BTuifMONxp4CJotCkRM2WgvjasahhJLABM_BWmoAIAGCQfm19CXs5A6PwIWd9IbskeSamjegP7al-H6EqQJ_BJFGJdyIQ6IZwa63KXwzxoPX8IXtirrQ5di0CkuEKrdpPch6VB7s5ZMTRat8t4Aois95B0bAZ0pKajyXY4ALwHSRN35xkVJ_B3uJT-gFXA8-yuzCpGg1EU7uLroWykfNl8qM_ddaKqSd6r2Nx9yN1GWC483lWq_QNYzJ2BUok4sEpRT3B6sbMlLv-1nTko5OP9IQlFEfyi50ccsJsPLrBkKA&refId=XzIbyAzNxK%2B%2BUK%2FNLWxcqg%3D%3D&trackingId=raWPQtE4YP7Wgb0sF48FBw%3D%3D&trk=flagship3_search_srp_jobs
"מנהל.ת חשבונות ספקים
מנהל.ת חשבונות ספקים with verification",Delta Galil Industries,"Caesarea, Haifa District, Israel (On-site)",4/19/2026,https://www.linkedin.com/jobs/view/4403885309/?eBP=CwEAAAGdpfE9FOgJwNtgyGtNOEUINqs6IiXAGvZa4dTuVWwDxNsGXW5fnHegOXxvUHTOb5ivOQn8Xx5C-7IHfn_lTIjKjKDSFF_mn1O0Wyf-_xtQ7OuOZZnJVaJi9DdNzsoxSag5RD9h06A2cBvdLIi35J8xhO-Xzn7bdC91wHuszRkpQ3hK1U1ZjvxWgFqo0Gkonzk0JS40kUJu--aNnNLjNWYgbC0WtND3A_QjBOuXUT4e9M-iJKT9hS-9Gy4yRpYR4Odpnpmbba1jqoARtOXfjEfZiB3LW4PFq3en5DoAg9KMoLRA7BMtWIg85u7l9bQR1UDIGuRmsGi3bP7d3wTIQ5EpLRddskPdX3bejOYu0hET1eejx3lmNXDVGPo1NrJxa5zoxYK9j43prFF0_moybGY79HNvOFKdhs8MI3zepz4YdYKgP_U3a8yJv2kscH-U5DAFhtz4TiUpNOsj5QiDY64hDgxtkobWpNNpot9XuKiP&refId=fFvi8RXE%2BvxESY7ZnuyHpA%3D%3D&trackingId=hGSiYkXIBUWcUN3y%2FdtHcA%3D%3D&trk=flagship3_search_srp_jobs
"Director of Video Production
Director of Video Production",DiploAct,"Tel Aviv District, Israel (On-site)",4/19/2026,https://www.linkedin.com/jobs/view/4401246483/?eBP=CwEAAAGdpeav0B8OijUPnOjZJKxsXQJhwTgTi2OMPTWkoUZL1urvJFxAussgFDwGnZQzBxjNqx-k8yzHQO4U-r3h-atLZGGH8uDSVOLsBtyV8gG69KoY11ZyFfDwe54j7vYrYiezOfuaErus3emkTy1l02ZPfROrXh4XE5raEbEkxy2o7FryC7QbKw0fVxZJSYGMUwuqP1r3mn0dhDgQqOG0UeC1H8K9VNVw7iz_myweteDfJlAjq1xUb_jWJJzZpMzrMLcATSjHcgBTdXobOmPY64TrMA4tXIzxMVmMVomy2211jl5RcFdyStqt4uUirJZqAmW1he-vZcw2pOTLp1_k9UGywudW_RQVw88e4-qwRB5ExPhL_-WM_AcENHSIOBdxXytJ_O2dZWvOBsZomB_BhlZzjSqIqTC0acKuKa8yjg2oNKTbgjs6nZ4fCs8_zKESBSav4CCMozYrSKoErwez__XxsI7lEeHrA4yH3am9TqMSIbfZt8nwipryd1NDz5U&refId=K%2FxjtGpxSnrVca%2BOnFxfuA%3D%3D&trackingId=7RaBf9bLdeKLZUMlzBpOwQ%3D%3D&trk=flagship3_search_srp_jobs
"Video Host & Content Creator
Video Host & Content Creator",DiploAct,"Tel Aviv District, Israel (Hybrid)",4/19/2026,https://www.linkedin.com/jobs/view/4401264024/?eBP=BUDGET_EXHAUSTED_JOB&refId=hKtC9PgdjVAF7FuojK00gA%3D%3D&trackingId=zJw9szz26AnN8AWFcUNaVw%3D%3D&trk=flagship3_search_srp_jobs
"Program Director
Program Director",DiploAct,"Tel Aviv District, Israel (Hybrid)",4/19/2026,https://www.linkedin.com/jobs/view/4401262007/?eBP=CwEAAAGdpfAa3DZXCw5viYcgAHmdRXsDAOuODYNiXdPitPst8M5QHkVaQpyDy75ecbKpivUzm4891fuZjGPfTtp40h_yfdGGpkl8unWWTJaso88KTtQBvJlpYznK27xDJLPm6QhvQ1KaDsvuv059kW1-YvpURzL20HSeN0irxwOY1zucu4p8NyxeEZPEor5b6O-Zf5gkMvENiAhNXlcBGsI8z2TiiQh5hwOKtcBz-ezLQLWNY6otC28qC227CNPWTDB5CaNHIy6GtSLrxpUukUbGN_xXJb0VmZZWyyUGmEXPF0y0PNe0U8StMp_L1ZZqT_VDFauFO4yVQWRQgpmYDVP6YdBUB2JNWOn7HMFM4KcR4XG2mucw2LjXg4TofG6HXJELMCIltPcNj6-HcOsHVhWAoJ3Rb0dVQJ32HoeJ1-BazXbXa-WF8hnA3-KIcyMCs08KrXyz8FzdbxQfRcTrqNjZGkqmmZhFvRkyCf6DIyltKyhvykOlWeZnmVf2yPzHbQ&refId=c9s0cyPwJYjuNWB7riCxyQ%3D%3D&trackingId=Ai0Ah2W4BpiZJoaKlHz0Vg%3D%3D&trk=flagship3_search_srp_jobs
"Video Editor
Video Editor",DiploAct,"Tel Aviv District, Israel (On-site)",4/19/2026,https://www.linkedin.com/jobs/view/4401254198/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=G4rvlZtIQbOjJB49KptsQA%3D%3D&trackingId=KZnnLBIvVkYYB5OiJyDZOg%3D%3D&trk=flagship3_search_srp_jobs
"HR & Talent Acquisition Partner
HR & Talent Acquisition Partner with verification",Direct Experts (DEX),"Center District, Israel (On-site)",4/19/2026,https://www.linkedin.com/jobs/view/4401278109/?eBP=CwEAAAGdpe_as2rrB0XK-vD57OFMQnflbHhpa2GAQaV_QWd3HbRFGJZmnv71maFUI5ZbHO1kRlFU3cHknfobltuN1PKvZ4IQ92Q0ufE46HMGfe7npAn-h6S4XNgU8Ce6aCipk3peyy0PnQGBondPpr9vf2TEuL2ePFAbkOQD9MldEzovOMjDOSufiKWSNrtEQbroliR2uxWqa2M4gHRxW6g7m4_tB-1SODAFZBloYBSAokNJ6I_PqsuS-pYO3tPz1lAYh_IYQ4ulb5ZQTfxVC-l-Nrfp12OBk0Ih8qgGhI3QQmDud-ItefaV6Uaj6jxnp1lDJjZCEwetLo40dXgHkmWtQsUCadTtGZqKlFKIvDSfY_WA42BFr4Lg1cQNzYoPwXAKjsb777fcr8nRso_LuTbj8SQBYGPJCvGjc9KYyznuoVH7ABPcBgIQ0s0KmbI3cK03bwh-4qfnV9fNzLrX&refId=6%2F1TP8lSr5YtC2KJBZTUXg%3D%3D&trackingId=Om6Rz8GSZ%2FNVHWDN9GD%2Fyw%3D%3D&trk=flagship3_search_srp_jobs
"Customer Relationship Management Specialist
Customer Relationship Management Specialist",Discreet,"Herzliya, Tel Aviv District, Israel (On-site)",4/19/2026,https://www.linkedin.com/jobs/view/4403303227/?eBP=CwEAAAGdpe3EFCzDvO1Hwq-qH370rg25L9zq7S71ZvzTt6eFuwk9_MNtRiqrkffTwjaEX1n2MrMgzbsG0OYEyw9vIIPD-UOztp2Wlt4s2k30c9_q_bZQvLB9C1GvIzODodRR7QBeoiRVaXqiOEAlHjtPRObkGSbxFzIRPo6IMs0xItgtGN-u7736183Q0i3YAt-cFpQ6p6A07l7ZspSpQ26tSqWHFEaTVHZqhpK_vXtIztWzr8S76GNfsxDD56czKCbDFqUtBVd0-IqiyO6xltEhRHM0Eevu8B-uWhFPaVI-r5yWOzclU__OVimvOG_AYh6NUK8U0IatzJSKxhhX-bi9PP9hRE3S9jH2UYkwO0K25mxC5jxEtPiOaN9CKFqMMtrqtnQp9iQ7mn7dbGBwxSZFS7jraTsUCVl1LAlVZGFL1w5U0mra1pFIeaoPRTZrNcx8U_lVd_s&refId=hKtC9PgdjVAF7FuojK00gA%3D%3D&trackingId=%2FstCi3HqFzW97UJZyOIpDQ%3D%3D&trk=flagship3_search_srp_jobs
"Social Media Manager
Social Media Manager",Doona,"Herzliya, Tel Aviv District, Israel (On-site)",4/19/2026,https://www.linkedin.com/jobs/view/4403869418/?eBP=CwEAAAGdpe2LTkp-80fL_sMH_Qu7BdJ4Wnv_D0EVxMcHNyv7f1s7KInzDMLG4To1QaIcV-sL1f67NtFpJLofT0mFHVu22r1xrreMeg7xX8uOnySss0jBXALEZUeWqOPmRUK28blwY2ZbcxTl7XcEbqXKTd90unnkRsO3KfTdB0NTUjVJ-fwuqVJLiB4Z21JszBTdk5ATOgC81GZ0gZWnk-S3PApiBTE_83BDgquUOEny3JLmu6GSEOPUvC1i6TwmABMhOfpDCp718pgys7k6NPlYtsdxi-7tNgedwaiEJg718dtldsZPyrBTWUqRc53SLWJTFq2kfs_3CPXShAxBROaqscA4WXs8k3P0UzC867b3vVL0W3d6Oloevir8fIEdmgi4f3n1IV0wSvcfQYkIdfMeKes0gC619cAcAVpItfRhvmaeaX-3VEtU2q3ife405kXyTNuGuYY1mGqtAg_MtJXIrDZBktvyDCX-vE1yAcfSdd1QcyBkYOMFGLdM99RhCHHcsiA&refId=nZzYOOu%2FsxmQzJx6ZAy71w%3D%3D&trackingId=NULI1%2BJSYCBmQC3444ZSiw%3D%3D&trk=flagship3_search_srp_jobs
"Japanese Market Operations Coordinator
Japanese Market Operations Coordinator with verification",Dot Compliance,"Rehovot, Center District, Israel (Hybrid)",4/19/2026,https://www.linkedin.com/jobs/view/4403885182/?eBP=CwEAAAGdpeav0GLbvb6jsDC-dciXwK8cJ1CWSm-DhOl4LjMkeYvN-8VGRMX1O7exujfYZeR5KJgB_La5M5B8lovsiKWGpIHM697OidqMbFZnosELFy-dQKAEpibKgE8lOfTebg3lt8zg8Xr0MvIC8SflJzimti_QKo-lt4zywsQ52m_wDgvRuODCA3KsYbRAACzbsrFE1uwliEaNO7emoCEVIBd8wT5-9GeKyUyF4AtpbwcFBJ9UVqvDaapbxBuSJypc434JVKvbt8zjsTcCSwWBy-T3suJ9ICP1Y2SKWq5eCZ1uxrIBObSQIeWywqEjUNJ4QhjkoZy9FEpXd90a2GLP7plkNGQe2koeJvXxB_p4DNzZnTYxn8FBrnZplLvmWzp7wA6U2-GhkXMou6fsQW-vHsw81vh0abSMzzySWiBvzEcoTxsz8BQX2yqkz5Nf57vNiitIthmjoTp-ShEZ6qjIf5JYEDPoeislWHVn6HR-dW3NU5w&refId=K%2FxjtGpxSnrVca%2BOnFxfuA%3D%3D&trackingId=zcTX4V60kPvmCsGyfJ17lA%3D%3D&trk=flagship3_search_srp_jobs
"Senior AI Engineer - Sovereign AI Engineering
Senior AI Engineer - Sovereign AI Engineering",Dream,"Tel Aviv-Yafo, Tel Aviv District, Israel (Hybrid)",4/19/2026,https://www.linkedin.com/jobs/view/4346730379/?eBP=CwEAAAGdpe7K-N9Mb8QIKfkwnk5dPmNCGk-MVyu2Lye9dEzQalWZXPk-TakQHLkcWB4XanxLscczEnzF6qMqEwY8aDjrAzCJ-nIBx0Hc_GWeEqnAyGy56pWwc1TX-K4QfScInFc-Xvf0OO5pF2nUDmB51dhPD-NCZ_2QanResoxsH2G1f99Add7t8ekHi8Vmr1Ii39pfVvJdjziIfRyrQTd5OJJj4aIcxlDN6CvjKrZ-fZppzShYyh4T7nT6xCFL61K-DRdBqIEnDtqp79Mf0zCHeiBdPBe35Nddr1M_q4m_W3QN7XvJuheNAZu50uLZCyV1R8cz9Jn0Nuv9gYixZM6UoWk2dEumN7-StScJkkDsjmrGTFOGxWLUewgDSvvh2Dh3nrAiwNlcK1xhYujjMpKUggVJa2jzdByTm7kgVn2cQgUY1i3BmQ23ybzZnh8QEpvSHwaGhKds4DFZ0JkfdWV-ncYCkHJEadDuXfeV&refId=WeAHA33keSXS6aDNyHThMw%3D%3D&trackingId=hdFnuJoeKgQIJEVN%2Fe3dng%3D%3D&trk=flagship3_search_srp_jobs
